INFO 2026-05-20 14:34:13,751 views 19024 1160 CategoryViewSet.list called with params: <QueryDict: {}>
INFO 2026-05-20 14:34:13,753 basehttp 19024 13432 "GET /api/products/ HTTP/1.1" 200 349
WARNING 2026-05-20 14:34:13,774 basehttp 19024 784 "GET /api/homepage/ HTTP/1.1" 404 5015
WARNING 2026-05-20 14:34:13,774 basehttp 19024 7892 "GET /api/site-config/footer/ HTTP/1.1" 404 5045
INFO 2026-05-20 14:34:13,775 views 19024 1160 Successfully returned 4 categories
INFO 2026-05-20 14:34:13,777 basehttp 19024 1160 "GET /api/products/categories/ HTTP/1.1" 200 52
INFO 2026-05-20 14:34:14,425 basehttp 19024 19108 "GET /api/products/ HTTP/1.1" 200 349
WARNING 2026-05-20 14:34:14,443 basehttp 19024 11968 "GET /api/delivery-charge/ HTTP/1.1" 404 5036
WARNING 2026-05-20 14:38:04,255 basehttp 19024 19172 "GET /api/site-config/ HTTP/1.1" 404 5024
WARNING 2026-05-20 14:38:04,280 basehttp 19024 3428 "GET /api/site-config/footer/ HTTP/1.1" 404 5045
WARNING 2026-05-20 14:38:04,294 basehttp 19024 5976 "GET /api/website/site-config/ HTTP/1.1" 404 23248
INFO 2026-05-20 14:38:36,978 views 19024 17652 CategoryViewSet.list called with params: <QueryDict: {}>
INFO 2026-05-20 14:38:37,011 views 19024 17652 Successfully returned 4 categories
WARNING 2026-05-20 14:38:37,005 basehttp 19024 5592 "GET /api/homepage/ HTTP/1.1" 404 5015
WARNING 2026-05-20 14:38:37,005 basehttp 19024 17064 "GET /api/site-config/ HTTP/1.1" 404 5024
INFO 2026-05-20 14:38:36,986 basehttp 19024 2248 "GET /api/products/ HTTP/1.1" 200 349
INFO 2026-05-20 14:38:37,024 basehttp 19024 17652 "GET /api/products/categories/ HTTP/1.1" 200 52
WARNING 2026-05-20 14:38:37,066 basehttp 19024 2508 "GET /api/site-config/footer/ HTTP/1.1" 404 5045
WARNING 2026-05-20 14:38:37,093 basehttp 19024 17064 "GET /api/website/site-config/ HTTP/1.1" 404 23248
INFO 2026-05-20 14:38:38,160 basehttp 19024 18392 "GET /api/products/ HTTP/1.1" 200 349
WARNING 2026-05-20 14:38:38,186 basehttp 19024 17524 "GET /api/delivery-charge/ HTTP/1.1" 404 5036
INFO 2026-05-20 14:39:48,099 views 19024 10432 CategoryViewSet.list called with params: <QueryDict: {}>
INFO 2026-05-20 14:39:48,117 basehttp 19024 15624 "GET /api/products/ HTTP/1.1" 200 349
WARNING 2026-05-20 14:39:48,127 basehttp 19024 1852 "GET /api/site-config/ HTTP/1.1" 404 5024
WARNING 2026-05-20 14:39:48,128 basehttp 19024 5392 "GET /api/homepage/ HTTP/1.1" 404 5015
INFO 2026-05-20 14:39:48,130 views 19024 10432 Successfully returned 4 categories
INFO 2026-05-20 14:39:48,143 basehttp 19024 10432 "GET /api/products/categories/ HTTP/1.1" 200 52
WARNING 2026-05-20 14:39:48,143 basehttp 19024 15624 "GET /api/site-config/footer/ HTTP/1.1" 404 5045
WARNING 2026-05-20 14:39:48,190 basehttp 19024 1852 "GET /api/website/site-config/ HTTP/1.1" 404 23248
INFO 2026-05-20 14:39:48,909 basehttp 19024 17524 "GET /api/products/ HTTP/1.1" 200 349
WARNING 2026-05-20 14:39:48,930 basehttp 19024 18392 "GET /api/delivery-charge/ HTTP/1.1" 404 5036
INFO 2026-05-20 14:39:59,481 basehttp 19024 1852 - Broken pipe from ('127.0.0.1', 11537)
INFO 2026-05-20 14:39:59,486 basehttp 19024 17064 - Broken pipe from ('127.0.0.1', 11504)
INFO 2026-05-20 14:40:12,909 views 19024 12556 CategoryViewSet.list called with params: <QueryDict: {}>
INFO 2026-05-20 14:40:12,911 basehttp 19024 4276 "GET /api/products/ HTTP/1.1" 200 349
WARNING 2026-05-20 14:40:12,930 basehttp 19024 18188 "GET /api/site-config/ HTTP/1.1" 404 5024
INFO 2026-05-20 14:40:12,932 views 19024 12556 Successfully returned 4 categories
WARNING 2026-05-20 14:40:12,938 basehttp 19024 8440 "GET /api/homepage/ HTTP/1.1" 404 5015
INFO 2026-05-20 14:40:12,939 basehttp 19024 12556 "GET /api/products/categories/ HTTP/1.1" 200 52
WARNING 2026-05-20 14:40:12,984 basehttp 19024 4276 "GET /api/site-config/footer/ HTTP/1.1" 404 5045
WARNING 2026-05-20 14:40:13,058 basehttp 19024 18188 "GET /api/website/site-config/ HTTP/1.1" 404 23248
INFO 2026-05-20 14:40:14,042 basehttp 19024 18392 "GET /api/products/ HTTP/1.1" 200 349
WARNING 2026-05-20 14:40:14,043 basehttp 19024 17524 "GET /api/delivery-charge/ HTTP/1.1" 404 5036
INFO 2026-05-20 14:41:00,300 views 19024 7112 CategoryViewSet.list called with params: <QueryDict: {}>
INFO 2026-05-20 14:41:00,301 basehttp 19024 10948 "GET /api/products/ HTTP/1.1" 200 349
WARNING 2026-05-20 14:41:00,326 basehttp 19024 4464 "GET /api/homepage/ HTTP/1.1" 404 5015
